脑室外引流术	External Ventricular Drain
如果幕上脑室系统压力过低，这些病人就可能发生向上的致死性小脑幕裂孔疝（反疝）。	These patients may suffer from life-threatening upward transtentorial herniation if there is no back pressure from the supratentorial ventricular system.
他们脑室引流不应低于15cmH2O。	Their ventricles should not be drained at lower than 15cm H2O.
颅底或脊柱水平存在脑脊液漏的患者不应积极引流，因为这一行为会导致患者颅腔迅速积气以及神经功能下降。	Patients with CSF leakage at the level of the skull base or spine should not be drained aggressively as this maneuver will lead to worsening of their pneumocephalus and neurologic decline.
如果鼻腔与颅内相沟通，感染与脑室沿可能会沿着颅内异物（EVD导管）的表面进行扩散。	Communication with the nasal passages may lead to spread of infection and ventriculitis in the face of a foreign body (EVD) catheter in the ventricle.
而长期使用EVD（2周）将导致感染率以及脑室炎的风险上升。	Long-term EVD usage (2 weeks) leads to increased rates of infection and ventriculitis.
对于活动性脑脊液感染的患者，应尽可能不置入EVD。	Patients with an active CSF infection should not undergo EVD implantation if possible.
点睛之笔	Pearls and Pitfalls
· 如果多次穿刺均未成功，向内向后稍稍倾斜可以提高成功率。	If multiple passes of the catheter are made without success, aiming slightly medially and posteriorly can increase the chance of success.
另外一个方法就是固定引流管再进行CT扫描查看。	Another option is to secure the catheter and obtain a CT scan.
在最后一次定位下纠正导管的路径。	The trajectory can be corrected based on the location of the last pass.
· 如果术者自信引流管在脑室内，但未见CSF回流，用10ml注射器做测压计或轻轻地从脑室内吸出低压力的脑脊液。	If you believe the drain is in the ventricle, but do not observe CSF return, a 10mL syringe can be used as a manometer or to gently withdraw low pressure CSF from the ventricle.
翼点入路开颅术	Pterional Craniotomy
概论	General Considerations
翼点或额颞入路向来在幕上入路中扮演“主力军”角色。	The pterional or frontotemporal craniotomy is the workhorse of the supratentorial approaches.
得益于其简易性、灵活性、高效性和普及性，该入路是处理前、中颅窝病变最常用的手术入路。	Because of its simplicity, flexibility, efficiency, and familiarity to neurosurgeons, this corridor is the most commonly used surgical route to lesions along the anterior and middle skull base.
笔者对常规翼点入路进行如下改良，而形成所谓的扩大翼点入路（extended pterional approach）：	I use the extended pterional approach, defined as a standard pterional craniotomy supplemented and expanded by
沿着蝶骨大翼从外向内切除骨质直至眶上裂；	Osteotomy along the lateral sphenoid wing to the level of the superior orbital fissure
将眶顶骨板磨平；	Drilling along the roof of the orbit to flatten its surface.
根据需要，咬除颞骨鳞部至平中颅底。	If necessary, roungering temporal squama towards the floor of the middle fossa.
上述改良可为鞍旁和额下区域提供无遮挡的手术视野。	These modifications provide unobstructed operative working angles toward the parasellar and subfrontal targets.
通过上述改良，翼点入路已经成为了一种颅底入路。	I consider this extended modification a skull base approach.
新增的蝶骨翼及眶顶骨质的磨除，是对颅底中线区域经额下通路的扩展，减少了对额叶的牵拉。	The additional bone removal at the sphenoid wing and orbital roof expands the subfrontal operative trajectories toward the midline skull base while reducing retraction on the frontal lobe.
眶顶部的打磨可部分起到眶颧开颅的效果，且相比之下，其更具备高效和低容貌损伤的优势。	The osteotomy along the roof of the orbit provides some of the advantages of an orbitozygomatic craniotomy, but it is more efficient and associated with less cosmetic deformity.
扩大翼点入路需根据具体的病变进行灵活的设计和调整。	The extended pterional craniotomy must be tailored to the specific underlying pathology.
下文叙述的是这一入路的通用原则和步骤，具体的调整及硬膜内操作，请参见其他相关章节。	The following steps describe the general principles of this approach, whereas the other relevant chapters review tailored exposures and intradural dissection via this route.
近年来，随着微侵袭锁孔理念的深化，经眉弓切口的眶上入路被用来处理鞍旁和前颅底中线区域病变。	Recently, a supraorbital craniotomy through the eyebrow incision has been used as part of the minimally invasive keyhole concept to parasellar and midline anterior skull base pathologies.
该理念下的另一入路创新即小（mini）翼点入路，通过以外侧裂为中轴的暴露，起到了标准翼点入路相似的效果。	Using the same concept, a minipterional approach has also been described, which is predominantly centered on the main axis of the sylvian fissure and results in a similar exposure to the one afforded via the standard pterional approach.
究竟选择何种入路，最核心的标准，应该是在微创的同时又可提供充足的手术视角和灵活的操作空间，以达到安全且高效处理病变的终极目标。	The ultimate choice of exposure must be minimally disruptive and allow flexible operative working angles to handle the lesion safely and efficiently.
尤为重要的是，必须为潜在的突发险情预留有充足的暴露和操作空间，例如动脉瘤或血管性肿瘤的术中出血。	Most importantly, the exposure should provide appropriate working space to handle potentially catastrophic situations such as massive intraoperative hemorrhage from aneurysms and vascular tumors.
因此，必须避免刻板地、一成不变地使用某一入路。	Therefore, routine indiscriminate use of one approach should be avoided.
术者务必将该入路的各种改良及其优缺点均烂熟于心。	The operator should be intimately familiar with all modifications of the exposures to the subfrontal corridor and their advantages and limitations.
入路适应症	Indications for the Approach
图1：扩大翼点入路可用于显露Willis环及视神经周围的鞍旁病变、前颅底肿瘤（包括眼眶病变），以及脚间窝和侧裂内的病变。	Figure 1: The extended pterional corridor can be used to expose parasellar lesions around the circle of Willis and optic apparatus, anterior skull base tumors (including orbital lesions), and interpeduncular and intrasylvian pathologies.
在笔者的实践中，对于巨大中线部位的前颅窝硬膜内病变（如嗅沟及筛板脑膜瘤），扩大翼点入路已经取代了双额入路。	The extended pterional approach has replaced the bifrontal craniotomy for giant midline anterior cranial fossa intradural lesions (ie olfactory and cribriform plate meningiomas) in my practice.
除去那些起源于硬膜外而向硬膜内侵犯的病变（如嗅神经母细胞瘤、脊索样肉瘤及其他鼻旁窦来源的恶性肿瘤），单侧的眶上外侧入路或翼点入路可在不减少暴露和操作空间的前提下，另具有明显优势。	With the exception of extradural skull base tumors extending into the intradural space (i.e. esthesioneuroblastomas, chondrosarcomas and other sinus malignancies), the unilateral lateral supraorbital or pterional exposure offers numerous advantages and no compromise in the necessary operative working angles.
针对严格筛选的病例，笔者偶尔也会应用翼点入路处理对侧病变，如对侧颈内动脉眼动脉段、大脑中动脉或大脑后动脉P1段动脉瘤。	I occasionally use the pterional route to reach contralateral lesions in very select cases such as contralateral ophthalmic, MCA and P1 artery aneurysms.
对于纯粹的三脑室肿瘤，尤其颅咽管瘤，笔者不采用此入路。	I do not use this route for purely third ventricular tumors, especially craniopharyngiomas.
内镜下经鼻入路可沿三脑室长轴提供绝佳的手术视野，对大多数鞍旁肿瘤亦是如此，同时可避免对脑组织的过度操作。	The endoscopic endonasal route provides excellent working angles along the long axis of the ventricle and most parasellar tumors and facilitates dissection without excessive brain manipulation.
近十年来，所有垂体肿瘤（无论其大小和质地），笔者均是通过内镜下经鼻入路而非开颅来处理的。	For the past decade, through the use of endoscopic endonasal techniques, I have not approached any pituitary tumor (regardless of its size or texture) through the transcranial route.
术前注意事项	Preoperative Considerations
对于术前及术后早期均无癫痫的患者，笔者予以术前预防性抗癫痫药物治疗，至术后7天停药。	I use antiepileptic medications for patients who are not suffering from preoperative seizures, and I terminate these medications 7 days after surgery in the absence of any seizure during the immediate postoperative period.
对于颅底巨大占位广泛累及基底池的特定病例，由于脑脊液循环明显受阻，预计术中松解蛛网膜仍无法有效减少脑压，故常予以腰大池引流释放脑脊液，以利于脑组织的塌陷。	A lumbar drain is placed for cerebrospinal fluid (CSF) drainage and facilitation of brain relaxation in select patients who harbor large skull base lesions filling the basal cisterns. Such lesions block CSF pathways along these cisterns and prevent adequate cerebral relaxation during opening of the corresponding arachnoid membranes.
根据肿瘤占位效应的程度，可在开颅前应用甘露醇。	Depending on the degree of mass effect caused by the tumor, mannitol may be administered prior to the craniotomy.
地塞米松有利于缓解血管源性水肿。	Dexamethasone is used in patients with significant vasogenic edema.
对于动静脉畸形或脑膜瘤的介入栓塞，笔者持保守态度。	I use embolization sparingly in patients with an AVMs or meningiomas.
神经导航常规应用。	Neuronavigation is usually used.
脑电监测应用于预计需行载瘤动脉临时阻断的动脉瘤夹闭术中，以评估脑血流骤然变化带来的影响。	Electroencephalography may be used for confirmation of burst suppression during clip ligation of aneurysms that are expected to require temporary parent vessel occlusion.
关于术中血压的控制，动静脉畸形患者的收缩压需较术前降低20-30%，除此以外，均控制在正常范围。	I keep the patient normotensive throughout surgery, except patients with AVMs, for whom the systolic blood pressure is kept ~20-30% below their corresponding preoperative blood pressure.
翼点开颅相关的解剖要点包括颞部头皮软组织解剖层次和关键孔的定位。	Relevant anatomy for performing an adequate pterional craniotomy involves knowledge of the scalp and temporal connective tissue layers and the keyhole site.
正常头皮的五层结构清晰明了，包括皮肤、皮下组织、帽状腱膜、腱膜下疏松结缔组织和骨膜。	Over the scalp, five concentric layers are easily recognized, namely the skin, the subcutaneous tissue, the galea aponeurotica, the loose connective tissue and the pericranium.
颞部的层次则较为复杂。	The temporal region has a much more complex anatomical relationship.
皮肤和皮下组织的深面是颞顶筋膜，其为帽状腱膜在颞部的延续，上述三层在术中通常一起切开而形成皮瓣。	Beneath the skin and subcutaneous tissue, the temporoparietal fascia comprises an extension of the galea over the temporal area. It is commonly included within the skin flap during surgical procedures.
下一层为蜂窝状疏松结缔组织，常利用该层间隙向颧弓分离。	The next layer is the loose connective areolar tissue, which is commonly used to develop the dissection plane towards the zygomatic arch.
向下分离过程中即可到达所谓的下颞部间隔（inferior temporal septum）水平，此处即为三层组织（颞顶筋膜、蜂窝状疏松结缔组织、颞肌筋膜）融合之处。	This plane is followed to the inferior temporal septum where three fascial layers get fused (temporoparietal fascia, loose areolar tissue and temporal fascia).
继续向下，颞肌筋膜则分为两层，即附着于颧弓上缘的浅层和深层，两层之间为颞部浅层脂肪垫。	At that level, the temporal fascia splits into two layers, the deep and superficial laminae that involve the superficial temporal fat pad before adhering to the superior margin of the zygomatic arch.
颞肌筋膜是覆盖于颞肌表面的最后一层，其越过颞上线上方即与骨膜层相延续。	The temporal fascia is the last layer over the temporal muscle and is in continuity with pericranium above superior temporal line.
面神经的额颞支（不同文献的命名不同，又可称为额支或颞支；译者注）即走行于下颞部间隔前方的脂肪-纤维组织内。	The frontotemporal branches of the facial nerve are found in the fatty-fibrous tissue in front of the septum.
因此，帽状腱膜下分离至该间隔时，需进行颞肌筋膜间或筋膜下分离，以保护面神经。	At this stage, preservation of such branches involves performing interfascial or subfascial dissection.
图2：翼点开颅的步骤及手术解剖。	Figure 2: Pterional craniotomy: steps in exposure and operative anatomy.
切口（A）。	Incision (A).
帽状腱膜下分离，分别形成独立的皮瓣和肌辦（B）。	Subgaleal dissection of the myocutaneous layer in two separate layers (B).
筋膜下分离以保护面神经额支（C）。	Subfascial dissection to protect the frontalis branch of the facial nerve (C).
向下牵开颞肌（D）。	Inferior mobilization of the temporalis muscle (D).
沿眶顶磨除骨质以扩展额下的手术视野（E）。	Osteotomy along the roof of the orbit to expand the subfrontal operative trajectory (E).
扩大翼点入路实现的硬膜内暴露（F）（感谢Rhoton教授对图片的授权）。	Intradural exposure afforded by extended pterional craniotomy (F)(Images courtesy of AL Rhoton, Jr).
图3：面神经额支穿经脂肪垫的走行。	Figure 3: The locations of the frontalis branches of the facial nerve through the fat pad are demonstrated.
无论是采用单独肌皮瓣或是筋膜间或筋膜下分离技术，均需保护该神经以避免术后额肌瘫痪。	These branches should be protected through the use of single layer myocutaneous flaps as well as intefascial and subfascial dissection through the fat pad. These maneuvers avoid postoperative frontalis palsy.
关于筋膜间和筋膜下分离技术保护面神经额支的相关内容，请参见下文“筋膜间及筋膜下技术与脂肪垫的分离”一节。	Please see more informaton below in the additional considerations section regarding the interfascial and subfascial techniques for preservation of the frontalis branch.
关于关键孔的相关内容，请参见《眶颧入路》章节。	For more anatomical information related to the keyhole, please refer to the Orbitozygomatic Craniotomy chapter.
图4：扩大翼点入路的暴露。	Figure 4: Exposure provided through an extended pterional craniotomy.
同侧及跨过视交叉的对侧血管均可显露（G）。	The ipsilateral vasculature and the contralateral vessels across the optic chiasm can be seen (G).
注意到视交叉下方的垂体柄（H）。	Note the pituitary stalk seen inferior to the optic chiasm (H).
牵开视神经可暴露对侧眼动脉的起始部（I）。	The origin of the contralateral ophthalmic artery beneath the retracted optic nerve (I).
去除前床突（J）。	The anterior clinoid process has been removed (J).
颈内动脉动眼神经三角和基底动脉（K）。	The carotid oculomotor triangle and the basilar artery are visible (K).
经视神经颈内动脉三角广泛暴露的基底动脉尖（L）（感谢Rhoton教授对图片的授权）。	The basilar apex is more widely visible through the opticocarotid triangle (L)(Images courtesy of AL Rhoton, Jr).
翼点开颅步骤	PTERIONAL CRANIOTOMY
患者采取平卧位，保持膝关节松弛，床头抬高15-20°。	The patient is placed in the supine position with knees flexed and the head of the table elevated approximately 15-20 degrees.
头架固定，头部向对侧旋转20-45°，颈部适当伸展以利于额叶抬离前颅底，即要求将颧隆突（原文为malar eminence；又称为maxillary process of zygomatic bone，颧骨上颌突；译者注）置于头部最高点。	The head is immobilized in a skull clamp, turned (20-45 degrees) away from the side of the approach, and moderately hyperextended to allow the frontal lobes to fall away from the floor of the anterior cranial fossa. The latter maneuver requires the malar eminence to be the highest point on the head.
越是靠近中线和前方的病变，头部转动的角度越小。	The closer the pathology to the midline and the further anteriorly the lesion is located, the less I turn the head.
例如，对于前交通动脉瘤和大脑中动脉瘤，头部分别旋转约30°和45°。	For example, I turn the head ~30 and ~45 degrees for an anterior communicating artery and middle cerebral artery aneurysm, respectively.
其他学者另有不同的头位摆放依据。	Other colleagues use other parameters to position the head.
越是靠近基底部的病变，如眼动脉段和后交通动脉段动脉瘤以及海绵窦占位，头越是少伸展而多旋转，使得眶外侧嵴（原文为orbital ridge；该术语少有应用，同supraorbital ridge，后者又同superciliary arches或eyebrow ridge，即眉弓；然而此处为眉弓可能性不大，译者认为更可能为眶外侧缘的骨嵴，即额骨颧突-颧骨额突区域；译者注）位于最上方；	More basal pathologies such as ophthalmic and posterior communicating artery aneurysms as well as cavernous sinus masses require little head deflection and greater head rotation so that the orbital ridge is left in the superior plane.
相反地，如大脑中动脉和颈内动脉分叉部动脉瘤以及向上侵犯的鞍上肿瘤，头尽量多伸展而少旋转，使得颧隆突位于最上方。	On the other hand, middle cerebral and carotid bifurcation artery aneurysms as well as suprasellar tumors with more superior extension benefit from a greater head deflection and minimal head rotation, allowing the malar prominence to stay in the superior plane.
图5：示意图展示了翼点开颅的手术室标准配备情况。	Figure 5: This illustration depicts the typical operating room setup for a pterional craniotomy.
器械护士可站于患者的一侧，将器械递交给站于（开颅阶段）或坐于（镜下操作阶段）患者另一侧的术者。	The surgical technician who hands the instruments to the surgeon stands on one side of the patient, and the surgeon stands (during the craniotomy) or sits (during microsurgery) across from the technician.
这样使得手术器械的传递更加顺畅。	This configuration allows an easy transfer of surgical instruments to the operator.
麻醉师也可安排在手术床尾，以便为手术团队腾出更多空间。	The anesthesiologist may be placed at the foot of the table if additional room is needed for the operative team.
图6：患者取平卧位，对于颈部活动度有限者，可垫高同侧肩部。	Figure 6: The patient is positioned supine and a shoulder roll is used for patients who have limited neck mobility.
头钉置于切口后方。	The pins are placed well behind the planned incision.
笔者习惯将成对头钉置于对侧颞上线，将单头钉置于同侧乳突。	I prefer to place the dual pins along the contralateral superior temporal line and the single pin on the ipsilateral mastoid bone.
将头部适度旋转和伸展以利于通过重力效应抬开额叶。	The head is slightly turned and extended to allow the frontal lobes to fall away with gravity.
图7：头皮切口始于耳屏前方1cm的颧弓水平。	Figure 7: The incision begins 1 cm anterior to the tragus at the level of the zygoma.
